Timestamp,email_c_school,email_p_school,cal_c_school,cal_p_school,email_c_per,email_p_per,cal_c_per,cal_p_per,department,admin,academic,when_responded
10/6/2021 12:17:53,Outlook,Apple Mail,Google Calendar,Apple Calendar,Gmail,Apple Mail,Google Calendar,Apple Calendar App,Admin,yes,yes,Before Follow-Up
10/9/2021 16:44:49,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,English,no,yes,Before Follow-Up
10/9/2021 17:24:00,Gmail,I do not access school email on my phone,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,Google Calendar,Google Calendar App,Language,no,yes,Before Follow-Up
10/9/2021 18:24:54,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Admin,yes,yes,Before Follow-Up
10/9/2021 21:03:50,Outlook,Outlook,Google Calendar,Google Calendar,Outlook,Outlook,Google Calendar,Google Calendar App,Admin,yes,yes,Before Follow-Up
10/9/2021 21:35:53,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Counseling,yes,yes,Before Follow-Up
10/10/2021 7:43:00,Outlook,I do not access school email on my phone,Outlook Calendar,I do not use an online calendar on my phone,Gmail,Gmail,Outlook Calendar,I do not use an online calendar on my phone,History,no,yes,Before Follow-Up
10/10/2021 9:00:20,Gmail,Apple Mail,Google Calendar,I do not use an online calendar on my phone,Gmail,Apple Mail,Google Calendar,Apple Calendar App,College,no,no,Before Follow-Up
10/10/2021 10:20:39,Apple Mail,Apple Mail,Google Calendar,Google Calendar,Apple Mail,Apple Mail,Google Calendar,Google Calendar App,Middle School,no,yes,Before Follow-Up
10/10/2021 13:17:07,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,College,no,no,Before Follow-Up
10/10/2021 20:45:44,Gmail,Gmail,Google Calendar,Google Calendar,AOL,AOL ,Google Calendar,Google Calendar App,History,no,yes,Before Follow-Up
10/11/2021 10:48:04,Outlook,Outlook,Google Calendar,I do not use an online calendar on my phone,Gmail,I do not access personal email on my phone,Google Calendar,I do not use an online calendar on my phone,History,yes,yes,Before Follow-Up
10/11/2021 13:54:02,Outlook,Outlook,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,Google Calendar,Google Calendar App,English,no,yes,Before Follow-Up
10/11/2021 15:18:27,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Performing Arts,yes,yes,Before Follow-Up
10/11/2021 18:16:47,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Science,no,yes,Before Follow-Up
10/11/2021 20:07:42,Outlook,I do not access school email on my phone,Outlook Calendar,I do not use an online calendar on my phone,yahoo,I do not access personal email on my phone,I do not use an online calendar on my phone,I do not use an online calendar on my phone,Middle School,no,yes,Before Follow-Up
10/11/2021 20:47:05,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Math,no,yes,Before Follow-Up
10/12/2021 9:03:28,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Middle School,no,yes,Before Follow-Up
10/12/2021 11:54:34,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Math,no,yes,Before Follow-Up
10/12/2021 11:59:41,Gmail,Gmail,I don't use an online calendar on my computer,Apple Calendar,I do not have a personal email account,Apple Mail,I do not use an online calendar on my phone,Apple Calendar App,Math,no,yes,Before Follow-Up
10/12/2021 12:59:21,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,College,no,no,Before Follow-Up
10/13/2021 9:43:45,Gmail,Apple Mail,Google Calendar,Google Calendar,Gmail,Apple Mail,Google Calendar,Google Calendar App,Math,no,yes,Before Follow-Up
10/13/2021 9:44:35,Outlook,Gmail,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,I do not use an online calendar on my phone,I do not use an online calendar on my phone,Math,no,yes,Before Follow-Up
10/14/2021 7:06:16,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Art,no,yes,After Follow-Up 1
10/14/2021 7:07:42,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Athletics,no,no,After Follow-Up 1
10/14/2021 7:12:00,Gmail,Gmail,Google Calendar,Google Calendar,Comcast,Comcast,Google Calendar,Google Calendar App,Art,no,yes,After Follow-Up 1
10/14/2021 7:18:20,Gmail,Gmail,I don't use an online calendar on my computer,I do not use an online calendar on my phone,Good old yahoo,Yahoo,I do not use an online calendar on my phone,Apple Calendar App,Language,no,yes,After Follow-Up 1
10/14/2021 7:27:53,Outlook,Outlook,I don't use an online calendar on my computer,I do not use an online calendar on my phone,I do not have a personal email account,I do not access personal email on my phone,I do not use an online calendar on my phone,I do not use an online calendar on my phone,Language,no,yes,After Follow-Up 1
10/14/2021 7:28:39,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Business Office,yes,no,After Follow-Up 1
10/14/2021 7:32:31,Gmail,I do not access school email on my phone,Google Calendar,I do not use an online calendar on my phone,Gmail,Apple Mail,Google Calendar,Google Calendar App,Science,no,yes,After Follow-Up 1
10/14/2021 7:34:34,Spark,Spark,Apple Calendar,Apple Calendar,Gmail,Gmail,Apple Calendar,Apple Calendar App,Science,no,yes,After Follow-Up 1
10/14/2021 7:37:21,Gmail,I do not access school email on my phone,Apple Calendar,Apple Calendar,I do not have a personal email account,I do not access personal email on my phone,Apple Calendar,Apple Calendar App,Science,no,yes,After Follow-Up 1
10/14/2021 7:38:57,Gmail,I do not access school email on my phone,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,I do not use an online calendar on my phone,I do not use an online calendar on my phone,Math,no,yes,After Follow-Up 1
10/14/2021 7:39:04,Gmail,Outlook,Google Calendar,I do not use an online calendar on my phone,Gmail,Outlook,I do not use an online calendar on my phone,I do not use an online calendar on my phone,Middle School,no,yes,After Follow-Up 1
10/14/2021 7:43:16,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Language,no,yes,After Follow-Up 1
10/14/2021 7:44:18,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Apple Mail,Google Calendar,Apple Calendar App,English,no,yes,After Follow-Up 1
10/14/2021 7:44:21,Outlook,Outlook,Google Calendar,I do not use an online calendar on my phone,Outlook,Outlook,I do not use an online calendar on my phone,I do not use an online calendar on my phone,English,no,yes,After Follow-Up 1
10/14/2021 7:44:32,Outlook,Apple Mail,Google Calendar,I do not use an online calendar on my phone,Apple Mail,Apple Mail,Google Calendar,Google Calendar App,English,no,yes,After Follow-Up 1
10/14/2021 7:46:11,Gmail,Gmail,Google Calendar,Google Calendar,I use my rivers email as personal email. Is this okay? I welcome your thoughts.,I do not access personal email on my phone,Google Calendar,Google Calendar App,Art,no,yes,After Follow-Up 1
10/14/2021 7:46:16,Gmail,Gmail,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,Google Calendar,Google Calendar App,English,no,yes,After Follow-Up 1
10/14/2021 7:51:09,Outlook,Outlook,Outlook Calendar,Outlook Calendar,Outlook,Apple Mail,I do not use an online calendar on my phone,Apple Calendar App,Middle School,no,yes,After Follow-Up 1
10/14/2021 7:52:17,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Language,no,yes,After Follow-Up 1
10/14/2021 7:55:35,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Apple Mail,Google Calendar,Google Calendar App,Science,no,yes,After Follow-Up 1
10/14/2021 7:57:23,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,College,yes,no,After Follow-Up 1
10/14/2021 7:58:22,Outlook,Apple Mail,Google Calendar,Google Calendar,Outlook,Apple Mail,Outlook Calendar,Apple Calendar App,Technology,no,no,After Follow-Up 1
10/14/2021 8:05:39,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Middle School,yes,yes,After Follow-Up 1
10/14/2021 8:05:39,Apple Mail,Apple Mail,Apple Calendar,Apple Calendar,Apple Mail & yahoo account ,Apple Mail,Apple Calendar,Apple Calendar App,History,no,yes,After Follow-Up 1
10/14/2021 8:06:29,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Science,no,yes,After Follow-Up 1
10/14/2021 8:06:41,Outlook,Outlook,Apple Calendar,Apple Calendar,Outlook,Outlook,Apple Calendar,Apple Calendar App,Admin,yes,yes,After Follow-Up 1
10/14/2021 8:07:31,Gmail,Gmail,Google Calendar,Apple Calendar,Gmail,Gmail,Google Calendar,Apple Calendar App,History,no,yes,After Follow-Up 1
10/14/2021 8:20:27,Gmail,Apple Mail,Google Calendar,Google Calendar,Gmail,Apple Mail,Google Calendar,Google Calendar App,History,no,yes,After Follow-Up 1
10/14/2021 8:23:08,Gmail,Apple Mail,"I rarely use an online calendar for school items, but when I do, it is Google.","I rarely use an online calendar for school items, but when I do, it is the apple calendar app.",Gmail,Apple Mail,Google Calendar,Apple Calendar App,History,no,yes,After Follow-Up 1
10/14/2021 8:30:32,Gmail,I do not access school email on my phone,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,Combo of Apple and Google Calendars,Combo of Apple and Google Calendars,Middle School,no,yes,After Follow-Up 1
10/14/2021 8:30:42,Gmail,Apple Mail,Google Calendar,Apple Calendar,Gmail,Apple Mail,Google Calendar,Apple Calendar App,Athletics,no,no,After Follow-Up 1
10/14/2021 8:43:26,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Language,yes,yes,After Follow-Up 1
10/14/2021 8:44:14,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Library,no,yes,After Follow-Up 1
10/14/2021 8:45:29,Gmail,Gmail,Apple Calendar,I do not use an online calendar on my phone,Gmail,Apple Mail,my personal calendar is not on my school computer,Apple Calendar App,Art,no,yes,After Follow-Up 1
10/14/2021 8:47:39,Outlook,Apple Mail,Outlook Calendar,Apple Calendar,Gmail,Apple Mail,Outlook Calendar,Apple Calendar App,Admissions,yes,no,After Follow-Up 1
10/14/2021 9:05:21,Gmail,Apple Mail,Google Calendar,I do not use an online calendar on my phone,Gmail,Apple Mail,Google Calendar,Google Calendar App,English,yes,yes,After Follow-Up 1
10/14/2021 9:06:22,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Development and External Relations,no,no,After Follow-Up 1
10/14/2021 9:16:24,Outlook,Outlook,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,I do not use an online calendar on my phone,I do not use an online calendar on my phone,Tutoring,no,yes,After Follow-Up 1
10/14/2021 9:23:14,Gmail,Apple Mail,Google Calendar,Apple Calendar,Gmail,Apple Mail,Google Calendar,Google Calendar App,Math,no,yes,After Follow-Up 1
10/14/2021 9:46:19,Gmail,Gmail,Google Calendar,I do not use an online calendar on my phone,Gmail,Gmail,Google Calendar,Apple Calendar App,Counseling,no,yes,After Follow-Up 1
10/14/2021 9:58:44,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Middle School,no,yes,After Follow-Up 1
10/14/2021 10:16:59,Gmail,Gmail,Google Calendar,Apple Calendar,Gmail,Gmail,Google Calendar,Apple Calendar App,History,no,yes,After Follow-Up 1
10/14/2021 10:22:29,Gmail,I do not access school email on my phone,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,I do not use an online calendar on my phone,Middle School,no,yes,After Follow-Up 1
10/14/2021 10:29:47,Web access Outlook,Apple Mail,I don't use an online calendar on my computer,I do not use an online calendar on my phone,Yahoo,Apple Mail,I do not use an online calendar on my phone,I do not use an online calendar on my phone,Science,no,yes,After Follow-Up 1
10/14/2021 10:33:42,Gmail,Gmail,Google Calendar,not sure....though I think it's Google,"AOL, believe it or not - they bought out Verizon",AOL,Google Calendar,also google I think not sure; all on the same calendar,Art,no,yes,After Follow-Up 1
10/14/2021 10:36:59,Gmail,Apple Mail,Google Calendar,Google Calendar,Gmail,Apple Mail,Google Calendar,Google Calendar App,History,yes,yes,After Follow-Up 1
10/14/2021 10:45:05,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Math,no,yes,After Follow-Up 1
10/14/2021 11:06:12,Gmail,Gmail,I don't use an online calendar on my computer,I do not use an online calendar on my phone,Gmail,Gmail,I don't use an online calendar on my computer,I do not use an online calendar on my phone,Language,no,yes,After Follow-Up 1
10/14/2021 13:35:39,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Art,no,yes,After Follow-Up 1
10/18/2021 6:54:44,Outlook,Outlook,Google Calendar,I do not use an online calendar on my phone,Outlook,Outlook,none,none,Language,no,yes,After Follow-Up 1
10/18/2021 13:17:07,Gmail,Apple Mail,Google Calendar,Apple Calendar,Comcast,Apple Mail,I do not use an online calendar on my phone,Apple Calendar App,Middle School,no,yes,After Follow-Up 1
10/19/2021 12:56:24,Gmail,Apple Mail,Google Calendar,Apple Calendar,Yahoo,Yahoo,Google Calendar,Apple Calendar App,Development and External Relations,no,no,After Follow-Up 2
10/19/2021 13:12:30,Gmail,Apple Mail,Google Calendar,Google Calendar,Gmail,Apple Mail,Google Calendar,Google Calendar App,Development and External Relations,no,no,After Follow-Up 2
10/19/2021 16:40:26,Gmail,Gmail,Google Calendar,Google Calendar,Gmail,Gmail,Google Calendar,Google Calendar App,Development and External Relations,no,no,After Follow-Up 2
10/20/2021 9:25:36,Gmail,Apple Mail,Google Calendar,Apple Calendar,Gmail,Apple Mail,Google Calendar,Apple Calendar App,Development and External Relations,no,no,After Follow-Up 2
10/20/2021 12:46:15,Outlook,Exchange (is that Outlook?),Google Calendar,Google Calendar,I don't access personal email on my work computer,Gmail,Google Calendar,Apple Calendar App,Development and External Relations,yes,no,After Follow-Up 2